Size,Group,Greed_Total,Equality,Need,Equity,Deprivation,Blame,Greed
Small,Local,54,7,3.5,6,7,7,6.75
Small,Local,48,6,6.5,7,6.5,3,6
Small,Local,56,7,7,7,7,7,7
Small,Local,51,5.5,6.5,6.5,5,7,6.375
Small,Local,40,6,5,3.5,5.5,7,5
Small,Local,35,4,2,3.5,4.5,4.666666667,4.375
Small,Local,48,7,5.5,6.5,6,6.666666667,6
Small,Local,55,7,7,7,7,7,6.875
Small,Local,47,7,5.5,7,6,6.666666667,5.875
Small,Local,48,7,7,7,7,7,6
Small,Local,55,6,6,6.5,7,7,6.875
Small,Local,48,4,5.5,7,7,7,6
Small,Local,43,7,4.5,6.5,2,5.666666667,5.375
Small,Local,56,7,7,7,7,7,7
Small,Local,48,7,6,5.5,4.5,7,6
Small,Local,56,7,7,7,7,7,7
Small,Local,42,1,7,7,7,7,5.25
Small,Local,45,6.5,5.5,6,5.5,6.666666667,5.625
Small,Local,50,7,6,6.5,6.5,7,6.25
Small,Local,44,7,5.5,7,7,7,5.5
Small,Local,56,7,7,7,7,5,7
Small,Local,56,7,7,7,7,7,7
Small,Local,50,7,7,7,6.5,6.333333333,6.25
Small,Local,51,7,5.5,6.5,7,7,6.375
Small,Local,56,7,7,7,7,7,7
Small,Local,55,7,7,7,7,7,6.875
Small,Local,53,6,6.5,6.5,6.5,7,6.625
Small,Local,53,7,6.5,7,6.5,7,6.625
Small,Local,50,6,5.5,6,6.5,7,6.25
Small,Local,54,6.5,1,6,7,6.333333333,6.75
Small,Local,49,7,6,6,6,6,6.125
Small,Local,35,4,4,3.5,5,4,4.375
Small,Local,48,6,6,6.5,6.5,6,6
Small,Local,29,2,3.5,1.5,5,2,3.625
Small,Local,56,4,5.5,7,7,7,7
Small,Local,43,6,5.5,6,5.5,5.333333333,5.375
Small,Local,56,7,7,7,7,7,7
Small,Local,37,4,5,4,4,4,4.625
Small,Local,46,5,6.5,7,7,7,5.75
Small,Local,56,7,7,4,7,5,7
Small,Local,56,7,7,7,7,7,7
Small,Local,56,7,7,7,7,7,7
Small,Local,53,4,7,7,7,7,6.625
Small,Local,49,7,7,7,7,7,6.125
Small,Local,49,7,5.5,7,5.5,7,6.125
Small,Local,49,7,7,7,7,7,6.125
Small,Local,52,7,7,7,6.5,7,6.5
Small,Local,51,7,7,7,7,7,6.375
Small,Local,56,2,7,7,7,7,7
Small,Local,53,6.5,6.5,6.5,7,6.333333333,6.625
Small,Local,46,7,6.5,7,6.5,7,5.75
Small,Local,53,6.5,5,7,6,7,6.625
Small,Local,46,5,5.5,4.5,4.5,6,5.75
Small,Local,56,7,7,7,7,5,7
Small,Local,55,3,6,6.5,7,6.333333333,6.875
Small,Local,52,7,6,6.5,6.5,7,6.5
Small,Local,56,7,7,7,7,7,7
Small,Local,44,4.5,5,5.5,5,5.333333333,5.5
