Group,Greed,Equality,Need,Equity,Deprivation,Blame
Black,7,7,7,7,7,5
Black,6,6,6,6,6,5.666666667
Black,5,5,5,5,5,5
Black,6.25,7,5.5,7,7,7
Black,5.875,3.5,5,6.5,6.5,6.666666667
Black,6.75,7,6.5,7,7,7
Black,6.75,7,5.5,7,7,7
Black,7,7,7,7,6.5,7
Black,5.875,4,4.5,5,6,6
Black,5.375,7,6,7,5,7
Black,5.875,7,5.5,6,6,6
Black,6.875,7,7,7,7,7
Black,5.75,6,5,6,6,6
Black,7,7,7,7,6.5,7
Black,6.875,6,7,7,7,7
Black,7,7,7,7,7,7
Black,5.375,4.5,4.5,6.5,6,6
Black,7,7,7,7,7,7
Black,7,4,6.5,7,7,7
Black,7,7,7,7,7,7
Black,6.25,4,7,7,4,7
Black,7,7,7,7,7,7
Black,7,7,7,7,5.5,7
Black,7,4,7,7,7,7
Black,6.5,4,6.5,6,7,7
Black,7,7,7,7,7,7
Black,7,7,7,7,7,7
Black,5.75,5,5.5,4.5,6,4
Black,6.5,7,6,7,7,7
Black,5.5,6,4,5,5.5,6.666666667
Black,5.875,6,5.5,4,5,4.333333333
Black,6.375,6,5.5,6,6,6.333333333
Black,6.125,5,5.5,7,6,5
Black,6.875,7,7,7,7,7
Black,6,7,7,7,6,7
Black,7,7,6.5,7,7,7
Black,7,7,7,7,7,7
Black,6.5,5,5.5,6,6,6.666666667
Black,7,7,7,7,7,7
Black,6.875,7,7,7,6,7
Black,7,7,7,7,7,7
Black,6,7,5.5,5.5,5,5.666666667
Black,6.75,4,6.5,7,6,6.666666667
Black,6,5,5.5,4,5.5,4
Black,7,5.5,5.5,7,7,7
Black,7,7,7,7,7,7
Black,7,7,7,7,7,7
Black,7,7,7,7,7,7
Black,7,7,7,7,7,7
Black,7,7,7,7,7,7
Black,6.375,3.5,6.5,5,7,6.666666667
Black,6.75,7,6,7,7,7
Black,6,6.5,5.5,6.5,5.5,5
Black,6.25,6,4,6,5,6.333333333
Black,5.5,4,5,4.5,5.5,5
Black,5.75,6.5,6,7,7,7
Black,6.875,7,7,7,7,7
Black,7,7,7,7,7,7
Black,5.75,6.5,6.5,6.5,6.5,6.333333333
Black,7,3,4.5,7,7,6.666666667
Black,6,7,4,6.5,5.5,6
Black,7,6,5,7,7,7
Black,6,5.5,4.5,5.5,5,5.666666667
Black,6.5,7,7,7,6.5,7
Black,6.25,4,6,6,7,7
Black,6.125,5.5,4,4.5,5.5,6.666666667
Black,7,7,7,7,7,7
Black,6.875,6,6.5,6.5,7,7
Black,6.625,5.5,5.5,7,7,7
Black,5.875,6.5,6,7,6,6.666666667
Black,6.875,7,7,7,7,7
Black,5.875,5.5,6.5,6,6,6
Black,6.375,4,5.5,7,7,7
Black,7,7,7,7,6,7
Black,5.75,7,4,7,7,7
Black,5.5,6,4.5,6,4.5,4
Black,6,7,4,7,6.5,7
Black,7,7,7,7,7,7
Black,7,7,7,7,7,7
Black,6.875,7,7,7,7,7
Black,6.75,7,7,7,7,7
Black,6.75,5.5,7,6.5,6,6
Black,6.375,6.5,6.5,6.5,6,6.333333333
Black,7,7,7,7,7,7
Black,7,1,7,7,7,7
Black,6.875,7,5.5,7,7,7
Black,6.875,7,7,7,7,7
Black,5.375,6,4,6,5.5,6
Black,6.5,5.5,6.5,6,6.5,5
Black,6.875,7,7,7,7,7
Black,6.875,7,7,7,7,6.333333333
Black,5.875,6,4,5,3,4
Black,7,7,7,7,7,7
Black,6.75,7,5,7,6,7
Black,6,6,6,6,6,6
Black,6.625,5,6.5,7,7,7
Black,5.875,7,6.5,6.5,7,7
Black,6.875,7,7,7,7,7
