Group,Greed,Equality,Need,Equity,Deprivation,Blame
Uncommon,7,5,7,7,7,7
Uncommon,6.375,7,7,4,7,7
Uncommon,6.875,6.5,4,6.5,7,5
Uncommon,6,6,5,6,6,7
Uncommon,6.75,7,7,7,6,7
Uncommon,7,7,7,7,6.5,7
Uncommon,7,3.5,7,7,7,7
Uncommon,7,7,7,7,7,7
Uncommon,6.875,7,7,4,7,6
Uncommon,6.625,6,6.5,6,6,6.666666667
Uncommon,5.625,6,6,6,5.5,6
Uncommon,7,7,7,7,7,7
Uncommon,6.625,5.5,6,7,5.5,7
Uncommon,6.875,7,7,7,7,7
Uncommon,6.375,3.5,5.5,7,6,7
Uncommon,7,7,7,7,7,7
Uncommon,6.75,7,6,7,7,7
Uncommon,6.375,5.5,5.5,6.5,7,6.666666667
Uncommon,7,7,6.5,7,6,7
Uncommon,7,7,7,7,6.5,7
Uncommon,7,6,6,7,7,7
Uncommon,6.875,7,7,7,7,7
Uncommon,6.375,6.5,4.5,5.5,7,7
Uncommon,6.875,7,6,6.5,6,6
Uncommon,6,6,6,5,7,5.666666667
Uncommon,7,7,7,7,7,7
Uncommon,7,7,7,7,7,7
Uncommon,6.875,7,7,7,7,7
Uncommon,6.25,7,5,7,6.5,7
Uncommon,6.5,7,7,7,7,7
Uncommon,7,7,7,7,7,7
Uncommon,7,7,7,7,7,7
Uncommon,6.125,7,6.5,6.5,6.5,7
Uncommon,6.875,6.5,7,7,6.5,7
Uncommon,5.375,4,4.5,4.5,5,6.333333333
Uncommon,6.875,6,6.5,7,7,7
Uncommon,5,6,5.5,5,5,4.666666667
Uncommon,6.625,7,7,7,6,7
Uncommon,6.875,7,7,7,7,7
Uncommon,5.125,6,5,7,6,7
Uncommon,6.875,7,6,7,6,7
Uncommon,7,7,6,7,7,7
Uncommon,6.875,6,7,7,7,7
Uncommon,6.625,6,6.5,6.5,6.5,6.666666667
Uncommon,7,7,7,7,7,7
Uncommon,7,4,6.5,7,7,7
Uncommon,6.625,5.5,6,6.5,7,7
Uncommon,5.75,4,5.5,6,5.5,6.666666667
Uncommon,6.75,7,7,7,7,7
Uncommon,6.875,7,7,7,7,7
Uncommon,7,7,7,7,7,7
Uncommon,7,7,7,7,7,7
Uncommon,6.125,7,6,7,7,4.666666667
Uncommon,6.625,7,7,7,7,7
Uncommon,6,7,5.5,7,7,7
Uncommon,6.75,6,6.5,6.5,6.5,7
Uncommon,6.375,4,6,6,5,6.666666667
Uncommon,6.75,5,3.5,4,4,5.666666667
Uncommon,7,7,7,7,7,7
Uncommon,7,7,7,7,6.5,7
Uncommon,7,7,7,7,7,7
Uncommon,6.25,5.5,6,6.5,7,6.666666667
Uncommon,6.5,6,6,6.5,6,7
Uncommon,6.875,7,3.5,4.5,6,5
Uncommon,7,7,7,7,7,7
Uncommon,7,7,7,7,7,7
Uncommon,4.875,6.5,5,6.5,6,6.666666667
Uncommon,6.75,7,7,7,7,7
Uncommon,3.875,4,3,4.5,5,4
Uncommon,7,7,7,7,7,7
Uncommon,3.875,1.5,6.5,1.5,6.5,5
Uncommon,6.125,6,6,6.5,6.5,6.666666667
Uncommon,7,7,7,7,7,7
Uncommon,6.625,7,7,7,7,7
Uncommon,6,7,6.5,7,7,6.666666667
Uncommon,6.375,5.5,5,5.5,6.5,6.333333333
Uncommon,6.875,7,7,7,6,6.333333333
Uncommon,7,7,7,7,7,7
Uncommon,5.75,5,5,5.5,6,6.666666667
Uncommon,7,7,7,7,7,7
Uncommon,6,6,6,6,6.5,6.333333333
Uncommon,6.5,7,6,7,5.5,6
Uncommon,5.875,6,5,5.5,5.5,5.666666667
Uncommon,7,7,7,7,7,5
Uncommon,7,7,7,7,7,7
Uncommon,7,7,7,7,7,7
Uncommon,7,7,5,6.5,6,7
Uncommon,6.5,5,6,7,7,7
Uncommon,7,7,7,7,7,7
Uncommon,6.875,7,7,7,7,7
Uncommon,6.875,6.5,6.5,7,7,6.666666667
Uncommon,6.875,3.5,6,6,4.5,7
Uncommon,7,7,7,7,7,7
Uncommon,5.875,6,6,6,6,6
Uncommon,6.75,4.5,6.5,7,6,7
Uncommon,6.875,7,6.5,6,6,7
Uncommon,6.375,7,6,7,7,6.666666667
Uncommon,6.5,6.5,4.5,6.5,5.5,6.666666667
