Scenario,Greed_Score
Hidden-fees,6.125
Hidden-fees,7
Hidden-fees,4.875
Hidden-fees,7
Hidden-fees,5.875
Hidden-fees,6.125
Hidden-fees,6.375
Hidden-fees,6.25
Hidden-fees,5.125
Hidden-fees,6.875
Hidden-fees,6.875
Hidden-fees,6.25
Hidden-fees,6
Hidden-fees,3.75
Hidden-fees,6.5
Hidden-fees,5.875
Hidden-fees,6.875
Hidden-fees,5.375
Hidden-fees,6.625
Hidden-fees,5
Hidden-fees,7
Hidden-fees,6.25
Hidden-fees,4.875
Hidden-fees,5.875
Hidden-fees,7
Hidden-fees,7
Hidden-fees,6.75
Hidden-fees,7
Hidden-fees,6
Hidden-fees,7
Hidden-fees,6.875
Hidden-fees,6.875
Hidden-fees,6.625
Hidden-fees,6.75
Hidden-fees,6.5
Hidden-fees,7
Hidden-fees,5.5
Sub_materials,5.875
Sub_materials,4
Sub_materials,6
Sub_materials,4.875
Sub_materials,6.25
Sub_materials,4.75
Sub_materials,5.375
Sub_materials,6.875
Sub_materials,6.625
Sub_materials,7
Sub_materials,7
Sub_materials,7
Sub_materials,5.875
Sub_materials,5.375
Sub_materials,6
Sub_materials,6.875
Sub_materials,6.875
Sub_materials,5.875
Sub_materials,7
Sub_materials,6.5
Sub_materials,2.125
Sub_materials,6.75
Sub_materials,7
Sub_materials,5.625
Sub_materials,6.125
Sub_materials,5.25
Sub_materials,6.125
Sub_materials,5.75
Sub_materials,6.125
Sub_materials,7
Sub_materials,6.25
Sub_materials,6.25
Sub_materials,6.625
Sub_materials,5.125
Sub_materials,7
Sub_materials,5.875
Sub_materials,6.5
Sub_materials,6.125
Sub_materials,6.875
Sub_materials,6.375
Sub_materials,7
Sub_materials,6.5
Sub_materials,7
Sub_materials,7
Sub_materials,6.875
Rent_inc,4.75
Rent_inc,5.625
Rent_inc,5.125
Rent_inc,2.75
Rent_inc,5.25
Rent_inc,3
Rent_inc,6.625
Rent_inc,6
Rent_inc,6
Rent_inc,6.125
Rent_inc,6.5
Rent_inc,3.375
Rent_inc,6.25
Rent_inc,5.125
Rent_inc,6.25
Rent_inc,5
Rent_inc,5.625
Rent_inc,4.75
Rent_inc,5.25
Rent_inc,6
Rent_inc,7
Rent_inc,5.75
Rent_inc,6.75
Rent_inc,6.375
Rent_inc,6.625
Rent_inc,3
Rent_inc,4.25
Rent_inc,7
Rent_inc,4.75
Rent_inc,5
Rent_inc,4.625
Rent_inc,6.875
Rent_inc,6
Rent_inc,6.75
Rent_inc,3.5
Rent_inc,4
Rent_inc,6
Rent_inc,5.125
Rent_inc,6.5
Rent_inc,5.875
Rent_inc,6.75
Rent_inc,7
Unfair_com,6.5
Unfair_com,6.125
Unfair_com,5.875
Unfair_com,3.375
Unfair_com,5
Unfair_com,4
Unfair_com,1.375
Unfair_com,4.5
Unfair_com,6
Unfair_com,2.5
Unfair_com,5.875
Unfair_com,4.875
Unfair_com,6.25
Unfair_com,6.125
Unfair_com,6.375
Unfair_com,6.25
Unfair_com,6.5
Unfair_com,6.5
Unfair_com,6
Unfair_com,6.375
Unfair_com,1.5
Unfair_com,5.75
Unfair_com,5.75
Unfair_com,3.875
Unfair_com,4.625
Unfair_com,6.5
Unfair_com,5.75
Unfair_com,6
Unfair_com,2.875
Unfair_com,2.875
Unfair_com,1.625
Unfair_com,2
Unfair_com,5.375
Unfair_com,2.5
Unfair_com,6
Unfair_com,6.125
Unfair_com,1.375
Unfair_com,6.125
