Size,Group,Score
Small,Local,6.75
Small,Local,6
Small,Local,7
Small,Local,6.375
Small,Local,5
Small,Local,4.375
Small,Local,6
Small,Local,6.875
Small,Local,5.875
Small,Local,6
Small,Local,6.875
Small,Local,6
Small,Local,5.375
Small,Local,7
Small,Local,6
Small,Local,7
Small,Local,5.25
Small,Local,5.625
Small,Local,6.25
Small,Local,5.5
Small,Local,7
Small,Local,7
Small,Local,6.25
Small,Local,6.375
Small,Local,7
Small,Local,6.875
Small,Local,6.625
Small,Local,6.625
Small,Local,6.25
Small,Local,6.75
Small,Local,6.125
Small,Local,4.375
Small,Local,6
Small,Local,3.625
Small,Local,7
Small,Local,5.375
Small,Local,7
Small,Local,4.625
Small,Local,5.75
Small,Local,7
Small,Local,7
Small,Local,7
Small,Local,6.625
Small,Local,6.125
Small,Local,6.125
Small,Local,6.125
Small,Local,6.5
Small,Local,6.375
Small,Local,7
Small,Local,6.625
Small,Local,5.75
Small,Local,6.625
Small,Local,5.75
Small,Local,7
Small,Local,6.875
Small,Local,6.5
Small,Local,7
Small,Local,5.5
Small,Local,6.625
Small,Local,6.5
Small,Local,6.75
Small,Local,6
Small,Local,6.625
Small,Local,4.375
Small,Local,6
Small,Local,7
Small,Local,6.875
Small,Local,6.25
Small,Local,6
Small,Local,6.375
Small,Local,6.5
Small,Local,5.125
Small,Local,5.875
Small,Local,5.875
Small,Local,5.625
Small,Local,6
Small,Local,5.875
Small,Local,6.125
Small,Local,6.875
Small,Local,5.375
Small,Local,6
Small,Local,5.875
Small,Local,6.875
Small,Local,6.625
Small,Local,6.625
Small,Local,5.25
Small,Local,6.375
Small,Local,5
Small,Local,6
Small,Local,6.25
Small,Local,6.125
Small,Local,6.25
Small,Local,5.875
Small,Local,6.375
Small,Local,6.25
Small,Local,6.25
Small,Local,5.75
Small,Local,4.125
Small,Local,6.25
Small,Local,6.75
Small,Local,6.875
Small,Local,5.75
Small,Local,5.125
Small,Local,5.125
Small,Local,6.125
Small,Local,5.5
Small,Local,5.875
Small,Local,6.75
Small,Local,6.25
Small,Local,6.875
Small,Local,6.125
Small,Local,5.625
Small,Local,6.625
Small,Local,6.875
Small,Local,6.75
Small,Local,5.625
Small,Local,6.375
Small,Local,7
Small,Local,6.125
Small,Local,6.375
Small,Local,5.25
Small,Local,7
Small,Local,5.125
Small,Local,6.375
Small,Local,5.5
Small,Local,6.5
Small,Local,6.875
Small,Local,6
Small,Local,6.875
Small,Foreign,6.875
Small,Foreign,6.875
Small,Foreign,6.75
Small,Foreign,6.25
Small,Foreign,6.125
Small,Foreign,6.125
Small,Foreign,6.625
Small,Foreign,6.5
Small,Foreign,6.25
Small,Foreign,6.625
Small,Foreign,4.625
Small,Foreign,5.5
Small,Foreign,6.75
Small,Foreign,5.75
Small,Foreign,6
Small,Foreign,6.25
Small,Foreign,5.375
Small,Foreign,6.125
Small,Foreign,5.125
Small,Foreign,3
Small,Foreign,4.875
Small,Foreign,5.625
Small,Foreign,6
Small,Foreign,5.5
Small,Foreign,6.375
Small,Foreign,5.875
Small,Foreign,4.25
Small,Foreign,5.875
Small,Foreign,6
Small,Foreign,6.125
Small,Foreign,6.5
Small,Foreign,7
Small,Foreign,7
Small,Foreign,6.75
Small,Foreign,6.75
Small,Foreign,7
Small,Foreign,7
Small,Foreign,6.375
Small,Foreign,7
Small,Foreign,5.5
Small,Foreign,6.875
Small,Foreign,5
Small,Foreign,6.75
Small,Foreign,7
Small,Foreign,6.125
Small,Foreign,6.125
Small,Foreign,6.125
Small,Foreign,7
Small,Foreign,5.875
Small,Foreign,6.5
Small,Foreign,7
Small,Foreign,6
Small,Foreign,6.25
Small,Foreign,6.25
Small,Foreign,6.5
Small,Foreign,5.5
Small,Foreign,6
Small,Foreign,6
Small,Foreign,4.875
Small,Foreign,6
Small,Foreign,4.75
Small,Foreign,6.625
Small,Foreign,7
Small,Foreign,7
Small,Foreign,6.875
Small,Foreign,6.875
Small,Foreign,5.875
Small,Foreign,6.875
Small,Foreign,6.25
Small,Foreign,5.875
Small,Foreign,5.875
Small,Foreign,6.75
Small,Foreign,6.75
Small,Foreign,5.875
Small,Foreign,7
Small,Foreign,5
Small,Foreign,5.625
Small,Foreign,7
Small,Foreign,6.875
Small,Foreign,6.875
Small,Foreign,6.875
Small,Foreign,6.625
Small,Foreign,7
Small,Foreign,7
Small,Foreign,7
Small,Foreign,6.375
Small,Foreign,5.875
Small,Foreign,5.375
Small,Foreign,5.375
Small,Foreign,6.375
Small,Foreign,5.125
Small,Foreign,7
Small,Foreign,5.75
Small,Foreign,6.25
Small,Foreign,6.375
Small,Foreign,4.375
Small,Foreign,5.375
Small,Foreign,6.5
Small,Foreign,5.875
Small,Foreign,5.125
Small,Foreign,4.125
Small,Foreign,6.25
Small,Foreign,4.25
Small,Foreign,7
Small,Foreign,6.5
Small,Foreign,5.75
Small,Foreign,6.125
Small,Foreign,6.125
Small,Foreign,6.875
Small,Foreign,5
