Group,GreedScore
Common,6
Common,5.5
Common,5
Common,6.5
Common,5
Common,6.875
Common,7
Common,6.25
Common,5.625
Common,6.125
Common,7
Common,7
Common,5.25
Common,7
Common,6
Common,7
Common,6.625
Common,5.625
Common,7
Common,6.625
Common,6.875
Common,6.75
Common,5
Common,6.5
Common,4.75
Common,6.625
Common,6.625
Common,6.375
Common,5.375
Common,6.125
Common,4.75
Common,6.875
Common,6.375
Common,6
Common,6
Common,6.75
Common,6.75
Common,4.25
Common,5.625
Common,5.125
Common,6.25
Common,7
Common,6.75
Common,6.375
Common,6
Common,6.875
Common,4.75
Common,6
Common,6.875
Common,6
Common,6.5
Common,6
Common,6.625
Common,7
Common,7
Common,6.125
Common,6.25
Common,6.125
Common,6.625
Common,6.25
Common,6.875
Common,7
Common,6.25
Common,5
Common,6.5
Common,6
Common,7
Common,6.125
Common,6.75
Common,7
Common,6.875
Common,4.5
Common,6
Common,6.5
Common,3.375
Common,4.75
Common,6.375
Common,6.375
Common,6.125
Common,6.875
Common,4.25
Common,6.375
Common,6.625
Common,7
Common,5.875
Common,4
Common,6.625
Common,5.75
Common,6.75
Common,6.375
Common,7
Common,7
Common,5.375
Common,5.25
Common,6.625
Common,6.625
Common,6
Common,6.875
Common,6.875
Common,7
Common,7
Common,6
Common,6.625
Common,6.75
Common,2
Common,6.625
Common,5.625
Common,7
Common,6.375
Common,6
Common,7
Common,4.125
Common,6.75
Common,7
Common,7
Common,6.5
Common,5.625
Common,6.25
Common,5.5
Common,7
Common,6.75
Common,5
Common,4.625
Common,6.75
Common,3
Rare,7
Rare,6.375
Rare,6.875
Rare,6
Rare,6.75
Rare,7
Rare,7
Rare,7
Rare,6.875
Rare,6.625
Rare,5.625
Rare,7
Rare,6.625
Rare,6.875
Rare,6.375
Rare,7
Rare,6.75
Rare,6.375
Rare,7
Rare,7
Rare,7
Rare,6.875
Rare,6.375
Rare,6.875
Rare,6
Rare,7
Rare,7
Rare,6.875
Rare,6.25
Rare,6.5
Rare,7
Rare,7
Rare,6.125
Rare,6.875
Rare,5.375
Rare,6.875
Rare,5
Rare,6.625
Rare,6.875
Rare,5.125
Rare,6.875
Rare,7
Rare,6.875
Rare,6.625
Rare,7
Rare,7
Rare,6.625
Rare,5.75
Rare,6.75
Rare,6.875
Rare,7
Rare,7
Rare,6.125
Rare,6.625
Rare,6
Rare,6.75
Rare,6.375
Rare,6.75
Rare,7
Rare,7
Rare,7
Rare,6.25
Rare,6.5
Rare,6.875
Rare,7
Rare,7
Rare,4.875
Rare,6.75
Rare,3.875
Rare,7
Rare,3.875
Rare,6.125
Rare,7
Rare,6.625
Rare,6
Rare,6.375
Rare,6.875
Rare,7
Rare,5.75
Rare,7
Rare,6
Rare,6.5
Rare,5.875
Rare,7
Rare,7
Rare,7
Rare,7
Rare,6.5
Rare,7
Rare,6.875
Rare,6.875
Rare,6.875
Rare,7
Rare,5.875
Rare,6.75
Rare,6.875
Rare,6.375
Rare,6.5
Rare,7
Rare,6
Rare,6.625
Rare,7
Rare,6.75
Rare,6
Rare,6.875
Rare,7
Rare,7
Rare,6.25
Rare,6.625
Rare,7
Rare,6
Rare,6.625
Rare,6.75
Rare,4.75
Rare,5.375
Rare,6.375
Rare,6.875
Rare,4.5
Rare,5.375
Rare,7
Rare,6.25
Rare,6.125
Rare,6.5
Rare,6
