Data Export Generated on Mon Jun 21 16:13:39 PDT 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey ID 8658511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dashboard Name My Dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OVERALL
Response ID,Response Status,IP Address,Timestamp (mm/dd/yyyy),Duplicate,Time Taken to Complete (Seconds),Seq. Number,External Reference,Custom Variable 1,Custom Variable 2,Custom Variable 3,Custom Variable 4,Custom Variable 5,Respondent Email,Email List,Country Code,Region,1 - CHA,2 - HI,3 - CON,4 - GEN,5 - AGE,6 - EDU,7 - INC,8 - SCE,9 - VAL1,10 - VAL2,11 - INT,12 - Q1 - Row 1,13 - Q2 - Row 1,14 - Q3 - Row 1,15 - Q4 - Row 1,16 - Q5 - Row 1,17 - Q6 - Row 1,18 - Q7 - Row 1,19 - Q8 - Row 1,20 - CODE,,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,GREED SCORE
47515375,Completed,149.167.128.5,6/18/2021 14:57,0,157,1,,,,,,,,,AU,VIC,PASS,,1,2,2,3,2,,1,It is not safe to do that. ,,6,2,6,2,6,2,6,3,725489,,6,6,6,6,6,6,6,5,47
47653261,Completed,24.236.88.53,6/21/2021 21:49,0,110,1,,,,,,,,,US,FL,PASS,,1,1,2,3,1,,1,"I think it is typical of a company to try to save money like this. However, they usually end up regretting it.",,4,4,5,4,4,3,2,4,892067,,4,4,5,4,4,5,2,4,32
47653268,Completed,45.23.231.59,6/21/2021 21:49,0,108,1,,,,,,,,,US,TN,PASS,,1,1,3,2,2,,1,I think they could have done better. They should have been more honest,,6,2,6,2,5,2,6,1,96712,,6,6,6,6,5,6,6,7,48
47653285,Completed,49.49.239.126,6/21/2021 21:49,0,170,1,,,,,,,,,TH,10,PASS,,1,1,4,4,2,,1,"Probably very common behavior in the construction game. Low-income houses are built using cheaper materials. As long as they comply with all regs, I don't really see a big ethical issue.",,3,4,6,2,5,1,3,3,123456,,3,4,6,6,5,7,3,5,39
47653301,Completed,157.49.208.18,6/21/2021 21:50,0,283,1,,,,,,,,,IN,TN,PASS,,1,1,3,4,2,,1,"The behavior is really rude and cruel. The customers believe in their years of service and thinking its a trust-worthy products but only for profit ,they are selling cheap materials. Its totally betraying the customers.",,7,1,7,7,7,1,7,1,911910,,7,7,7,1,7,7,7,7,50
47653373,Completed,24.187.115.38,6/21/2021 21:51,0,330,1,,,,,,,,,US,NJ,PASS,,1,1,3,4,3,,1,"It is typical of a major corporation to provide lower quality products at a lower price to a different level of consumer, to increase sales.  It is not wrong as long as consumer knows what they are paying for.  If crimson One discloses in its marketing that it is creating a lower cost product line to reach out to a broader customer base, then I would think its actions are acceptable.",,5,3,5,2,5,2,2,4,876351,,5,5,5,6,5,6,2,4,38
47653466,Completed,96.37.37.113,6/21/2021 21:54,0,354,1,,,,,,,,,US,SC,PASS,,1,1,3,4,4,,1,they sound immoral. they should be investigated and the people responsible should be fired,,7,7,7,1,7,7,6,1,566712,,7,1,7,7,7,1,6,7,43
47653569,Completed,108.216.4.79,6/21/2021 21:56,0,148,1,,,,,,,,,US,FL,PASS,,1,1,3,5,4,,1,"I do not think it is fair, but it is not totally surprising. Many firms will do almost anything legal to maximize their profits. Lower income individuals have less recourse in responding to customer service failures like this.",,7,1,6,1,7,1,7,1,322591,,7,7,6,7,7,7,7,7,55
47653682,Completed,27.7.110.165,6/21/2021 21:58,0,192,1,,,,,,,,,IN,KA,PASS,,1,1,4,4,2,,1,It is really bad and unethical. They shouldn't scam people to waste money on maintenance. I wouldn't want to associate with a company like that.,,7,1,6,1,6,1,6,1,754412,,7,7,6,7,6,7,6,7,53
47653873,Completed,172.56.22.167,6/21/2021 22:03,0,234,1,,,,,,,,,US,CT,PASS,,1,2,5,3,3,,1,Don't be greedy. You were already doing well. NOw you are lowering the quality of your work and the reputation of your company.,,7,1,7,1,7,1,7,1,727263,,7,7,7,7,7,7,7,7,56
47654196,Completed,157.51.168.12,6/21/2021 22:10,0,2643,1,,,,,,,,,IN,TN,PASS,,1,1,3,5,1,,1,The behaviour of Crimson One company is unethical and not at all acceptable. The house owners are affected by their greediness in unexpected repair and maintenance costs. This practice will not help them in long run and will harm them badly.,,7,1,7,1,7,1,7,1,984276,,7,7,7,7,7,7,7,7,56
47654225,Completed,49.145.105.142,6/21/2021 22:11,0,265,1,,,,,,,,,PH,CEB,PASS,,1,1,2,4,1,,1,Very selfish behavior. They valued their profits above the quality of work that they provide to their clients.,,7,1,7,1,7,1,7,1,845829,,7,7,7,7,7,7,7,7,56
47654233,Completed,103.114.211.122,6/21/2021 22:11,0,1307,1,,,,,,,,,IN,TN,PASS,,1,1,2,4,3,,1,It is unethical and wrong,,6,1,7,2,7,2,2,2,220711,,6,7,7,6,7,6,2,6,47
47654335,Completed,73.214.178.170,6/21/2021 22:13,0,271,1,,,,,,,,,US,OH,PASS,,1,1,3,3,2,,1,"They wanted to do things cheaper to make more money. It ended up coming back to hurting the home owners in the long run, but they don't mind as long as they get more.",,6,1,7,7,5,1,4,2,296738,,6,7,7,1,5,7,4,6,43
47654584,Completed,73.214.178.170,6/21/2021 22:18,0,265,1,,,,,,,,,US,OH,PASS,,1,2,3,3,2,,1,"I believe that the company is greedy and wants to make more money. They don't care whom they hurt doing so, as long as they are looking out for themselves.",,7,1,6,7,7,1,6,1,481063,,7,7,6,1,7,7,6,7,48
47654602,Completed,223.233.77.224,6/21/2021 22:19,0,162,1,,,,,,,,,IN,UP,PASS,,1,1,2,5,2,,1,I feel it is very irresponsible behaviour. They intentionally used cheaper materials and hid it from their customers. This would cause huge issues with the people who live in these houses.,,7,1,7,1,7,1,6,1,546612,,7,7,7,7,7,7,6,7,55
47654648,Completed,103.59.202.143,6/21/2021 22:20,0,177,1,,,,,,,,,IN,MH,PASS,,1,1,2,4,1,,1,Crimson One company license should be cancelled and they should be put in jail. Poor material using in building can lead to deaths of people and they were playing life with people,,7,1,7,1,7,1,6,1,924541,,7,7,7,7,7,7,6,7,55
47655046,Completed,173.66.36.130,6/21/2021 22:28,0,1450,1,,,,,,,,,US,VA,PASS,,1,1,3,4,4,,1,I think this company is unethical using cheap materials. ,,7,1,7,1,5,7,6,1,385938,,7,7,7,7,5,1,6,7,47
47655303,Completed,72.76.190.4,6/21/2021 22:33,0,253,1,,,,,,,,,US,NJ,PASS,,1,1,3,5,3,,1,"I think the behavior of Crimson One is appalling.  A home is one of the most important things in life, and is one of the largest investments one will make in the course of one's lifetime.  The fact that Crimson One used substandard materials makes me feel angry with them, and I hope they will be held accountable. ",,7,1,7,1,7,1,7,1,230829,,7,7,7,7,7,7,7,7,56
47655339,Completed,103.147.209.192,6/21/2021 22:34,0,226,1,,,,,,,,,IN,KL,PASS,,1,1,4,5,2,,1,The company's behavior is not at all ethical and moral.,,6,1,6,2,6,1,7,1,888999,,6,7,6,6,6,7,7,7,52
47655640,Completed,198.71.99.128,6/21/2021 22:40,0,260,1,,,,,,,,,US,,PASS,,1,2,4,4,2,,1,I think that it is okay to use cheaper materials in order to have affordable housing and one of the downsides unfortunately to homeownership is maintenance. There needs to be affordable solutions for things that need repaired.,,1,4,3,6,1,4,1,7,702570,,1,4,3,2,1,4,1,1,17
