Group,GreedScore,IdScore
AU,54,30
AU,51,37
AU,49,32
AU,56,42
AU,53,18
AU,55,41
AU,51,23
AU,48,40
AU,56,30
AU,45,35
AU,56,24
AU,49,40
AU,45,26
AU,50,42
AU,44,34
AU,56,35
AU,55,27
AU,44,26
AU,54,37
AU,50,17
AU,50,37
AU,56,34
AU,54,40
AU,56,25
AU,49,29
AU,56,41
AU,42,25
AU,56,42
AU,56,40
AU,50,27
AU,54,31
AU,53,24
AU,56,28
AU,56,32
AU,45,13
AU,40,36
AU,55,42
AU,53,34
AU,53,33
AU,47,42
AU,55,29
AU,56,35
AU,45,30
AU,56,42
AU,56,42
AU,46,38
AU,55,27
AU,54,32
AU,40,36
AU,55,39
AU,42,30
AU,56,42
AU,49,39
AU,37,26
AU,38,42
AU,48,37
AU,42,36
AU,43,30
AU,19,35
AU,47,36
AU,56,39
AU,53,33
AU,56,24
AU,28,38
AU,51,15
AU,43,39
AU,46,34
AU,48,16
AU,29,13
AU,52,28
AU,56,36
AU,46,39
AU,49,32
AU,49,34
AU,47,40
AU,50,12
AU,45,25
AU,50,18
AU,56,35
AU,49,41
AU,45,40
AU,56,41
AU,48,42
AU,54,35
AU,46,36
AU,50,21
AU,56,37
AU,49,41
AU,56,22
AU,48,39
AU,48,24
AU,56,41
AU,42,41
AU,48,32
AU,46,39
AU,41,6
AU,54,28
AU,55,42
AU,44,42
AU,43,36
AU,53,20
AU,48,40
AU,56,41
AU,51,32
AU,54,26
AU,50,33
AU,52,42
AU,43,32
AU,54,27
AU,48,31
AU,56,42
AU,52,42
AU,56,17
AU,47,36
AU,51,25
AU,56,30
AU,55,24
AU,51,26
USA,56,38
USA,48,29
USA,40,24
USA,50,36
USA,47,38
USA,54,28
USA,54,18
USA,56,35
USA,47,31
USA,43,40
USA,47,37
USA,55,18
USA,46,13
USA,56,42
USA,55,32
USA,56,42
USA,43,29
USA,56,32
USA,56,25
USA,56,42
USA,50,20
USA,56,42
USA,56,42
USA,56,42
USA,52,37
USA,56,38
USA,56,42
USA,46,28
USA,52,22
USA,44,37
USA,47,32
USA,51,36
USA,49,41
USA,55,40
USA,48,18
USA,56,33
USA,56,28
USA,52,42
USA,56,19
USA,55,38
USA,56,42
USA,48,30
USA,54,33
USA,48,42
USA,56,41
USA,56,42
USA,56,30
USA,56,18
USA,56,6
USA,56,24
USA,51,22
USA,54,38
USA,48,21
USA,50,36
USA,44,33
USA,46,36
USA,55,23
USA,56,24
USA,46,25
USA,56,42
USA,48,13
USA,56,41
USA,48,36
USA,52,29
USA,50,39
USA,49,36
USA,56,42
USA,55,36
USA,53,36
USA,47,40
USA,55,38
USA,47,42
USA,51,27
USA,56,42
USA,46,34
USA,44,25
USA,48,42
USA,56,31
USA,56,24
USA,55,26
USA,54,30
USA,54,37
USA,51,20
USA,56,15
USA,56,40
USA,55,37
USA,55,24
USA,43,38
USA,52,28
USA,55,32
USA,55,42
USA,47,24
USA,56,12
USA,54,42
USA,48,42
USA,53,36
USA,47,42
USA,55,25
USA,50,29
USA,50,38
USA,51,37
USA,45,40
USA,55,21
USA,56,34
USA,56,24
USA,55,34
USA,44,41
USA,56,39
USA,43,37
USA,52,34
USA,50,42
