What do you think about the behavior of Crimson One?,You will be presented with some statements. Please choose your level of agreement with the statements using the options given. ,Here is a reminder of the scenario in case you need it. Please take into account that all the questions will make reference to it:  Crimson One is an Australian construction business that builds residential properties in Australia. The business has around 300 employees. Crimson One has been operating for over ten years and its financial situation is very good. One day Crimson One owners decide to increase their profits and start employing cheaper materials to construct houses in low-income Australian suburbs where it can go unnoticed. The strategy is a success for Crimson One and the business owners decide to stick with it. However several Australian house owners and tenants are eventually impacted by the use of cheap materials and they later find themselves spending money on house maintenance and repairs. ,Dir1,Dir2,Dir3,Dir4,Ind1,Ind2,Ind3,Ind4,,,,,,Eq1,Eq2,N1,N2,Des1,Des2,Dep1,Dep 2,Bla1,Bla2,Bla3,Iden1,Iden2,Iden3,Iden4,Iden5,Iden6,
,,,Dir1,Dir2,Dir3,Dir4,Ind1,Ind2,Ind3,Ind4,Dir2Rev,Dir4Rev,Ind2Rev,Ind4Rev,Total Greed,Eq1,Eq2,N1,N2,Des1,Des2,Dep1,Dep 2,Bla1,Bla2,Bla3,Iden1,Iden2,Iden3,Iden4,Iden5,Iden6,Total Id.
I think the behavior is disgusting. They are taking advantage of their customers.,,,7,1,6,1,7,1,6,1,7,7,7,7,54,1,1,7,7,1,1,7,7,1,7,7,4,6,5,6,4,5,30
they are untethical and cheap,,,6,1,6,2,6,1,6,1,7,6,7,7,51,1,1,7,6,1,1,6,6,1,6,6,7,6,6,6,6,6,37
"I think that they are sleazy, and that their practices should reduce their market share.",,,7,2,7,2,7,1,5,4,6,6,7,4,49,5,5,7,7,1,1,7,7,1,7,7,5,7,6,5,4,5,32
I think the behavior is unacceptable and are too greedy.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,7,7,7,7,7,7,42
"I mostly think its foolish and short sighted.  There are obviously some moral issues, but its hard for me to focus on those when a successful company is making a high-risk/low-reward decision. ",,,7,1,7,1,7,1,4,1,7,7,7,7,53,4,4,7,1,5,6,7,7,1,7,7,4,5,2,3,1,3,18
I THINK IT IS AWFUL. THEY TOOK ADVANTAGE OF THE PEOPLE WHO PURCHASED THE HOUSES. ,,,7,1,7,1,7,1,6,1,7,7,7,7,55,1,1,7,7,1,1,6,7,1,7,7,7,7,7,6,7,7,41
I find it deplorable. Cutting costs on material for profits just makes the situation worse for your customers. It is a companys obligation to provide the best service possible. In the case of construction work cutting corners is potentially dangerous to the customer.,,,7,1,6,1,7,1,5,3,7,7,7,5,51,4,3,7,7,1,4,7,7,1,7,7,4,4,2,5,3,5,23
Crimson One is definitely defrauding people with the use of cheap products where home buyers tend to spend more than expected on home repair.,,,6,2,6,2,6,2,6,2,6,6,6,6,48,2,2,6,6,2,2,6,6,2,6,6,7,7,7,7,6,6,40
I think that it is unethical and could be considered crimial.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,5,5,5,5,5,5,30
I dont think it was an ethical decision.,,,6,2,5,2,6,3,6,3,6,6,5,5,45,1,1,6,7,1,1,7,7,1,7,7,6,5,5,7,5,7,35
"awful, they’re hurting people who are already hurting. ",,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,4,4,4,4,4,4,24
"I think this is very unethical behavior, it violates all possible laws and should be punished properly.",,,7,1,7,1,6,6,7,2,7,7,2,6,49,2,1,4,7,1,2,5,5,2,6,7,7,7,7,6,6,7,40
"In the short term, it made sense. They saved a lot of money using cheaper materials to build. However, in the long term, it didnt. Not only do the owners of the homes Crimson One built now have to pay more for costly repairs, Crimson Ones reputation is now damaged. ",,,6,2,6,2,6,1,4,4,6,6,7,4,45,1,1,4,7,1,1,7,7,1,7,7,4,4,4,6,4,4,26
"I feel that they will get a bad reputation for using lower quality materials and in the long run, this will hurt them as being cheap builders.",,,6,2,7,2,7,1,5,2,6,6,7,6,50,1,1,6,7,1,2,6,5,1,7,7,7,7,7,7,7,7,42
"I think its not uncommon in todays world, but personally find it unethical and - intentionally or not - racially biased because it is often people of color who live in lower economic areas. ",,,6,2,6,2,6,2,2,2,6,6,6,6,44,2,2,5,6,1,2,6,6,1,6,6,6,6,6,5,6,5,34
I think it is horrible and they sound like really bad people. I dont think what they did was right and I question their moral. I think that they probably need to either be sued or the need to go to jail.  I think their actions will one day end up hurting people.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,6,6,5,6,6,6,35
Crimson One has put profit in front of integrity. They are greedy and do not truly care about all of their costumers. I feel this is a bad business decision and a bad business practice. ,,,7,1,7,1,7,1,6,1,7,7,7,7,55,1,1,6,7,1,1,7,7,1,7,7,5,5,3,5,4,5,27
I think the behavior of Crimson One is reprehensible. They are very greedy and dont respect their customers.,,,6,2,4,2,6,3,6,3,6,6,5,5,44,1,1,7,7,1,1,7,7,1,7,7,7,6,6,2,3,2,26
I think it is unethical and immoral that the business used shoddy and cheap building materials requiring tenants to spend more money to repair. ,,,7,1,7,1,6,1,6,1,7,7,7,7,54,1,2,6,7,2,1,7,6,2,7,7,6,7,6,6,6,6,37
I think it is misleading and dishonest of them. Awful business standards,,,6,2,7,2,7,1,5,2,6,6,7,6,50,2,1,7,7,1,7,6,6,1,7,6,4,4,2,3,1,3,17
I think their behavior is deceptive. If they are going to use cheaper building materials they should admit it before people buy their homes.,,,6,1,6,2,7,2,6,2,7,6,6,6,50,1,2,5,6,2,1,6,5,1,7,6,6,7,6,6,6,6,37
Crimson One got greedy. They put profits ahead of quality.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,4,6,6,6,6,6,34
I think it a stupid decision on their part. They are trying to make more money by being cheap with the houses they build. It is also not fair to the people that are purchasing these homes. They are going to end up losing lots of business because they are going to create a bad name for themselves by being so selfish,,,7,1,6,1,7,1,6,1,7,7,7,7,54,1,1,6,7,1,1,7,7,1,7,7,7,7,7,6,7,6,40
I think it is unethical and very irresponsible.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,2,2,6,7,1,1,7,7,1,7,7,4,5,3,4,4,5,25
"Poor choice was made. Using subpar materials results in damage and repair costs. You get what you pay for. Construction company will,probably spend more money fixing things than if they had done it right the first time!",,,6,2,6,2,6,1,6,2,6,6,7,6,49,1,1,6,6,1,2,6,5,1,7,6,5,5,4,5,5,5,29
"I feel that their behavior is unprofessional and cheap, and they should have known better.",,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,1,7,7,7,6,7,7,41
Using cheap material for construction of houses is not ethical,,,6,2,6,2,5,4,5,4,6,6,4,4,42,3,4,5,4,4,4,4,6,4,4,5,5,4,4,4,4,4,25
"They are selfish, they have their interest at heart and not that of their client ",,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,6,7,1,1,6,6,1,6,7,7,7,7,7,7,7,42
I think its greedy and selfish that they would use cheaper building materials so they can make more of a profit. Its hurtful to the people that own the properties and will have to pay to make repairs later on. ,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,7,5,7,7,7,7,40
"Personally, I feel the company has become greedy. But at the same the, the thought buyer beware comes to mind. Since the company mainly builds for low income, I do believe they are taking advantage. What also enters my thought is who actually is sponsoring this effort, a country, town, charity organization? In reality I believe it is their responsibility to make sure this company does not cut corners, otherwise I believe their efforts are insincere. ",,,7,2,6,2,7,2,6,2,6,6,6,6,50,4,4,5,4,3,3,5,5,4,4,4,5,5,5,4,4,4,27
I think that it is a disgusting practice based on greed. ,,,7,1,6,1,7,1,6,1,7,7,7,7,54,1,1,6,6,1,1,7,6,1,7,7,5,6,5,5,5,5,31
"Greed -- It would seem that Crimson One is more concerned about money (greed) than producing a quality product; especially since they did this in low-income houses.  Eventually, this poor decision will come back to them and hurt their business.",,,7,1,6,1,7,1,5,1,7,7,7,7,53,1,1,7,6,1,1,6,6,1,7,7,4,4,4,4,4,4,24
I think they are just greedy and their behavior is terrible since they are making cheap houses,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,4,6,6,4,4,4,28
"cheap, unethical, criminal, killer mentality towards others, cheating",,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,6,6,5,5,5,5,32
I think that the behavior of Crimson One is very shady and unethical because they are cutting corners and not giving their clients their best work.,,,6,2,6,2,6,1,3,3,6,6,7,5,45,2,2,5,5,2,2,6,4,1,7,7,3,2,2,2,2,2,13
"this practice is legal, but it will have an affect on the companys reputation. the scenario did not say if the houses built with lower quality  materials were sold for the same price as expensive suburban homes. if the subject houses sold for less, then you can say the customers received what they paid for.",,,5,3,6,3,5,3,4,3,5,5,5,5,40,3,4,3,4,3,4,5,4,2,5,5,6,7,6,5,6,6,36
"I feel that by going using cheaper building materials, Crimson One is being extremely unethical. These residents are already low-income and now it will cost them in the future where it would not have if the construction company used proper materials in the first place.",,,7,1,7,1,7,1,7,2,7,7,7,6,55,1,1,7,6,1,2,7,7,1,7,7,7,7,7,7,7,7,42
I think it is deplorable.,,,7,1,6,1,7,1,5,1,7,7,7,7,53,1,1,7,7,1,1,7,7,1,7,7,6,6,7,5,5,5,34
