Group,GreedScore
Common,48
Common,44
Common,56
Common,52
Common,40
Common,55
Common,56
Common,50
Common,45
Common,56
Common,56
Common,56
Common,42
Common,56
Common,56
Common,56
Common,53
Common,45
Common,56
Common,53
Common,55
Common,54
Common,56
Common,52
Common,38
Common,53
Common,53
Common,51
Common,43
Common,49
Common,38
Common,55
Common,51
Common,56
Common,48
Common,54
Common,54
Common,34
Common,45
Common,41
Common,50
Common,56
Common,54
Common,51
Common,48
Common,55
Common,56
Common,48
Common,55
Common,48
Common,52
Common,48
Common,53
Common,56
Common,56
Common,49
Common,50
Common,49
Common,53
Common,50
Common,55
Common,56
Common,50
Common,54
Common,52
Common,56
Common,56
Common,49
Common,54
Common,56
Common,55
Common,36
Common,56
Common,52
Common,27
Common,38
Common,51
Common,51
Common,49
Common,55
Common,34
Common,51
Common,54
Common,56
Common,47
Common,32
Common,53
Common,46
Common,54
Common,51
Common,56
Common,56
Common,43
Common,42
Common,53
Common,55
Common,48
Common,55
Common,55
Common,56
Common,56
Common,48
Common,53
Common,54
Common,16
Common,53
Common,45
Common,56
Common,51
Common,48
Common,56
Common,33
Common,54
Common,56
Common,56
Common,52
Common,56
Common,50
Common,44
Common,56
Common,54
Common,40
Common,37
Common,54
Common,24
Rare,56
Rare,51
Rare,55
Rare,48
Rare,54
Rare,56
Rare,56
Rare,56
Rare,55
Rare,53
Rare,45
Rare,56
Rare,53
Rare,55
Rare,51
Rare,56
Rare,54
Rare,51
Rare,56
Rare,56
Rare,56
Rare,55
Rare,51
Rare,55
Rare,48
Rare,56
Rare,56
Rare,55
Rare,50
Rare,52
Rare,56
Rare,56
Rare,49
Rare,55
Rare,43
Rare,55
Rare,40
Rare,53
Rare,55
Rare,41
Rare,55
Rare,56
Rare,55
Rare,53
Rare,56
Rare,56
Rare,53
Rare,46
Rare,54
Rare,55
Rare,56
Rare,56
Rare,49
Rare,53
Rare,48
Rare,54
Rare,51
Rare,54
Rare,56
Rare,56
Rare,56
Rare,50
Rare,52
Rare,55
Rare,56
Rare,56
Rare,39
Rare,54
Rare,31
Rare,56
Rare,31
Rare,49
Rare,56
Rare,53
Rare,48
Rare,51
Rare,55
Rare,56
Rare,46
Rare,56
Rare,48
Rare,52
Rare,47
Rare,56
Rare,56
Rare,56
Rare,56
Rare,52
Rare,56
Rare,55
Rare,55
Rare,55
Rare,56
Rare,47
Rare,54
Rare,55
Rare,51
Rare,52
Rare,56
Rare,48
Rare,53
Rare,56
Rare,54
Rare,48
Rare,55
Rare,56
Rare,56
Rare,50
Rare,53
Rare,56
Rare,48
Rare,53
Rare,54
Rare,38
Rare,43
Rare,51
Rare,55
Rare,36
Rare,43
Rare,56
Rare,50
Rare,49
Rare,52
Rare,48
